"","FB_ID","Ind","Class","Gender","YOB","NuT","Math","German","Physics","Biology","Chemistry","Group","PO1_indoor","PO2_indoor","PO3_indoor","PO4_indoor","PO5_indoor","PO1_outdoor","PO2_outdoor","PO3_outdoor","PO4_outdoor","PO5_outdoor","RS01_outdoor","RS02_outdoor","RS03_outdoor","RS04_outdoor","RS01_indoor","RS02_indoor","RS03_indoor","RS04_indoor","RT01_outdoor","RT02_outdoor","RT03_outdoor","RT04_outdoor","RT01_indoor","RT02_indoor","RT03_indoor","RT04_indoor","AR01_outdoor","AR02_outdoor","AR03_outdoor","AR01_indoor","AR02_indoor","AR03_indoor","AW01_outdoor","AW02_outdoor","AW03_outdoor","AW04_outdoor","AW01_indoor","AW02_indoor","AW03_indoor","AW04_indoor","KHU01_outdoor","KHU02_outdoor","KHU03_outdoor","KHU04_outdoor","KHU01_indoor","KHU02_indoor","KHU03_indoor","KHU04_indoor","KS01_outdoor","KS02_outdoor","KS03_outdoor","KS04_outdoor","KS01_indoor","KS02_indoor","KS03_indoor","KS04_indoor","R01_outdoor","R02_outdoor","R03_outdoor","R04_outdoor","R05_outdoor","R01_indoor","R02_indoor","R03_indoor","R04_indoor","R05_indoor","AB01_outdoor","AB02_outdoor","AB03_outdoor","AB04_outdoor","AB01_indoor","AB02_indoor","AB03_indoor","AB04_indoor","S01_outdoor","S02_outdoor","S03_outdoor","S04_outdoor","S05_outdoor","S01_indoor","S02_indoor","S03_indoor","S04_indoor","W01_outdoor","W02_outdoor","W03_outdoor","W04_outdoor","E01_outdoor","E02_outdoor","E03_outdoor","E04_outdoor","InR1_outdoor","IjR1_outdoor","InR2_outdoor","ExR1_outdoor","IjR2_outdoor","IdR1_outdoor","InR3_outdoor","IjR3_outdoor","IdR2_outdoor","ExR2_outdoor","InR4_outdoor","InR1_indoor","IjR1_indoor","InR2_indoor","ExR1_indoor","IjR2_indoor","IdR1_indoor","InR3_indoor","IjR3_indoor","IdR2_indoor","ExR2_indoor","InR4_indoor","InR_outdoor","IdR_outdoor","IjR_outdoor","ExR_outdoor","InR_indoor","IdR_indoor","IjR_indoor","ExR_indoor","SDI_outdoor","SDI_indoor","PO_outdoor","PO_indoor","RS_outdoor","RS_indoor","RT_outdoor","RT_indoor","R_outdoor","R_indoor","A_outdoor","A_indoor","C_outdoor","C_indoor","BPN_outdoor","BPN_indoor","diff_SDI","diff_A","diff_C","diff_RT","diff_RS"
"1","FoWoSB1",1,1,1,2000,,,,,,,,5,4,4,3,2,5,4,5,4,2,4,4,4,5,2,4,5,5,5,5,4,4,3,3,3,2,5,4,5,3,2,3,5,5,3,3,3,4,2,5,4,4,5,3,4,4,3,2,3,3,3,3,3,3,2,2,4,3,2,4,4,2,2,4,2,3,4,3,3,4,4,2,2,4,2,3,5,4,4,3,5,3,2,2,4,4,3,4,5,3,4,5,1,3,1,1,1,2,1,2,2,2,2,1,3,3,2,3,2,1,3,4,2,3,1.5,1,1.5,2.25,3,1.3333333333,3.5,3.5,-0.8333333333,4,3.6,4.25,4,4.5,2.75,4.375,3.375,4,2.7272727273,3.5,2.875,3.9583333333,2.9924242424,4.3333333333,1.2727272727,0.625,1.75,0.25
"2","FoWoSB2",2,1,1,2000,3,3,3,,,,1,5,4,2,3,3,4,5,2,3,4,4,5,4,4,5,5,5,5,3,3,3,3,4,5,5,5,2,4,4,3,5,5,3,4,5,5,5,5,3,5,5,5,5,3,5,4,3,3,4,4,4,5,,4,5,4,4,4,1,5,5,3,3,2,2,4,4,2,4,5,4,3,3,4,2,2,5,2,1,3,2,3,3,5,5,5,4,5,5,5,3,5,1,5,1,1,2,5,4,3,1,4,4,4,4,1,2,1,2,5,1,1,4,4.75,2.5,2,1,3.5,1,3.6666666667,1,8,2.3333333333,3.6,3.4,4.25,5,3,4.75,3.625,4.875,3.8181818182,3.7272727273,4.375,3.5,3.9393939394,4.0340909091,5.6666666667,0.0909090909,0.875,-1.75,-0.75
"3","FoWoSB3",3,1,1,2001,2,1,1,,,,1,3,3,3,4,3,5,3,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,4,4,4,3,1,4,5,4,3,1,3,4,5,4,4,4,3,4,4,4,1,1,4,1,1,4,3,1,3,2,5,5,5,5,5,5,4,5,1,5,1,1,2,5,1,3,5,1,5,1,5,1,1,4,5,1,3,1,4,4,2.5,1,3,4.75,3.5,1,1,3.5,10,4,3.2,5,5,5,4.75,5,4.875,4.5454545455,4,4.875,4.375,4.8068181818,4.4166666667,-6.5,0.5454545455,0.5,0.25,0
"4","FoWoSB4",4,1,2,2001,2,3,3,,,,1,3,3,2,5,2,5,5,4,5,3,5,4,5,4,4,5,5,4,4,4,4,5,4,4,4,4,2,5,5,3,3,4,4,4,5,4,5,4,4,4,5,5,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,5,4,4,4,4,4,2,3,4,4,2,3,4,3,3,2,4,2,1,3,3,3,3,2,2,3,1,4,5,5,5,5,3,3,4,3,3,2,1,3,4,3,3,1,4,3,2,3,2,2,4,3,3,4,3,4,3.75,3,2.3333333333,1.5,3.25,4,2.3333333333,2.5,5.1666666667,3.1666666667,4.4,3,4.5,4.5,4.25,4,4.375,4.25,3.8181818182,3.2727272727,4.25,3.375,4.1477272727,3.6325757576,2,0.5454545455,0.875,0.25,0
"5","FoWoSB5",5,1,2,2000,2,3,2,,,,2,5,4,3,3,4,4,4,3,3,3,4,3,4,4,4,3,4,3,5,4,4,5,4,5,4,4,4,4,5,4,5,5,5,5,3,4,5,5,3,4,5,5,4,3,4,5,4,3,3,4,4,4,3,4,4,5,3,4,1,4,4,3,4,2,4,4,4,4,3,4,4,4,4,5,4,3,4,1,1,3,2,1,4,2,4,4,3,4,5,5,3,5,1,5,1,1,2,5,1,3,2,4,5,2,5,1,2,3,5,1,3,2,5,4.75,2.5,1,1.5,5,3,1.6666666667,1.5,8,8.3333333333,3.4,3.8,3.75,3.5,4.5,4.25,4.125,3.875,4.0909090909,4,4,4,4.071969697,3.9583333333,-0.3333333333,0.0909090909,0,0.25,0.25
"6","FoWoSB6",6,1,1,2001,4,4,4,,,,2,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,5,5,1,4,5,5,3,4,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,3,3,4,3,3,2,2,4,5,4,3,3,5,4,3,3,5,4,4,4,5,1,1,4,4,3,2,4,4,2,1,5,2,5,3,3,5,1,4,2,2,2,1,2,2,1,2,1,3,2,3,2,2,2,4,2,1,4,2,1,2.75,2,1.3333333333,1.5,1.75,4,2,2,3.1666666667,1.5,4.4,5,4.75,5,3.75,4,4.25,4.5,4.3636363636,4.3636363636,4.375,4.25,4.3295454545,4.3712121212,1.6666666667,0,0.125,-0.25,-0.25
"7","FoWoSB7",7,1,1,2001,1,2,3,,,,2,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,1,5,5,4,4,2,5,5,5,5,4,5,4,5,4,5,2,1,5,2,1,2,1,4,4,2,5,5,5,4,5,4,3,5,2,5,1,2,4,5,1,5,2,5,5,2,5,3,1,5,5,2,5,2,4,5,4.5,1.6666666667,1.5,4.75,5,1.6666666667,2.5,9.8333333333,7.8333333333,4.8,4.8,5,5,5,4.75,5,4.875,4.9090909091,4.2727272727,4.875,4.625,4.928030303,4.5909090909,2,0.6363636364,0.25,0.25,0
"8","FoWoSB8",8,1,1,2000,2,1,2,,,,1,4,3,4,4,3,3,2,5,4,2,3,4,2,3,5,5,5,5,2,5,2,5,5,5,5,5,2,2,5,4,4,4,2,3,1,5,4,5,3,5,4,5,3,2,5,5,5,4,3,4,4,4,5,5,5,5,4,4,2,4,3,5,5,1,5,5,2,2,2,4,4,4,4,5,1,1,2,1,3,1,1,1,4,1,5,5,3,3,4,5,4,3,3,4,2,1,4,3,1,4,1,4,5,5,5,2,3,5,4,3,5,2,5,3.5,4,1.6666666667,1.5,4.75,5,3.6666666667,2,6.3333333333,6.8333333333,3.2,3.6,3,5,3.5,5,3.25,5,2.7272727273,3.8181818182,3.625,4.875,3.2007575758,4.5643939394,-0.5,-1.0909090909,-1.25,-1.5,-2
"9","FoWoSB9",9,1,1,2000,2,1,1,,,,2,5,3,4,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,,4,4,3,5,5,5,4,4,3,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4,5,1,5,4,5,3,1,4,5,5,4,5,5,5,3,3,5,1,2,5,2,1,2,1,4,2,3,3,4,5,5,5,5,4,5,1,5,1,1,2,5,1,5,1,5,5,3,5,3,1,4,5,3,5,2,5,5,3.5,1,1,5,4.5,2.3333333333,2.5,10.5,7.1666666667,4.6,4,5,5,5,5,5,5,4.6363636364,3.1818181818,4.875,4.625,4.8371212121,4.2689393939,3.3333333333,1.4545454545,0.25,0,0
"10","FoWoSB10",10,1,1,2000,2,2,2,,,,2,4,2,3,3,2,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,3,4,3,4,5,3,5,4,3,2,4,5,5,4,3,4,4,4,4,5,4,4,5,5,4,4,4,5,4,1,5,5,4,3,2,3,3,4,4,4,5,2,3,3,4,2,2,3,1,1,2,3,3,2,5,4,4,4,5,4,5,3,5,3,5,1,2,3,5,3,5,1,5,4,2,4,1,1,5,4,1,5,1,4,5,4,2.6666666667,1,4,5,1.3333333333,1,9.3333333333,9.6666666667,4.8,2.8,4.75,4.5,4.75,4,4.75,4.25,4.4545454545,3,4.375,4.125,4.5265151515,3.7916666667,-0.3333333333,1.4545454545,0.25,0.75,0.25
"11","FoWoSB11",11,1,2,2001,3,3,1,,,,2,5,3,4,5,5,4,4,5,3,3,4,4,4,4,5,5,5,5,4,4,4,5,4,3,5,4,4,4,4,4,5,5,5,5,3,5,5,5,3,4,5,5,5,3,5,4,5,4,3,4,5,5,3,3,5,4,5,5,2,5,4,5,4,1,5,4,4,2,4,4,4,4,4,5,1,2,4,3,2,1,1,1,3,3,3,3,4,4,1,4,3,4,2,4,1,2,3,4,2,4,1,4,5,4,5,1,1,5,5,1,5,3,5,4,3.5,2,1,5,5,2,2,7.5,9,3.8,4.4,4,5,4.25,4,4.125,4.5,4,4,4.375,4.125,4.1666666667,4.2083333333,-1.5,0,0.25,0.25,-1
"12","FoWoSB12",12,1,1,2000,2,2,2,,,,1,5,3,3,3,1,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,4,5,2,3,5,5,4,4,5,3,4,3,4,5,4,5,4,3,4,3,3,4,4,5,4,4,4,4,4,5,5,1,5,5,4,4,3,3,3,4,4,5,5,3,3,3,4,1,1,5,3,2,3,2,3,4,1,5,5,5,5,4,5,3,5,2,5,1,1,1,4,1,5,4,5,3,4,3,1,1,1,3,1,3,2,3,4.75,3,1.3333333333,2.5,3,2,2,1.5,6.1666666667,3,4.2,3,5,5,4.75,4,4.875,4.5,4.5454545455,3.0909090909,4.375,3.625,4.5984848485,3.7386363636,3.1666666667,1.4545454545,0.75,0.75,0
"13","FowoSB13",13,1,1,2001,4,4,4,,,,1,2,2,2,3,2,5,5,5,5,5,5,5,5,5,3,2,2,1,5,5,5,5,2,1,1,1,3,5,5,1,1,1,5,5,5,5,3,2,2,4,5,5,5,5,2,4,2,4,4,5,5,4,3,2,4,3,5,5,1,5,5,3,3,1,4,3,5,4,4,5,3,3,2,2,1,2,2,1,1,5,5,5,2,1,5,5,5,5,5,5,5,5,3,5,1,1,2,5,1,5,1,5,5,4,5,4,3,5,5,4,5,3,5,5,3.5,1.6666666667,1,5,5,3.6666666667,3.5,9.8333333333,4.3333333333,5,2.2,5,2,5,1.25,5,1.625,4.6363636364,1.9090909091,4.75,3,4.7954545455,2.178030303,5.5,2.7272727273,1.75,3.75,3
"14","FoWoSB14",14,1,2,2001,1,2,3,,,,2,1,3,2,1,2,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,5,5,5,1,1,1,5,5,5,5,1,3,2,4,5,5,5,5,2,1,3,1,4,5,5,5,1,1,3,3,5,5,5,5,5,3,1,1,2,3,4,3,4,5,1,1,1,2,1,1,5,1,1,3,2,5,1,1,5,5,5,5,5,5,3,5,2,4,1,1,1,3,1,1,1,5,3,1,3,1,1,4,1,1,3,1,1,4.25,1,1.3333333333,1,2,3.5,1,1,6.1666666667,4.5,4.6,1.8,5,5,5,2,5,3.5,4.6363636364,1.5454545455,4.875,1.875,4.8371212121,2.3068181818,1.6666666667,3.0909090909,3,3,0
"15","FoWoSB15",15,1,1,2001,2,2,1,,,,1,3,3,4,5,3,4,2,4,3,3,5,5,5,5,4,5,5,4,4,5,5,5,3,3,3,3,4,3,4,2,2,2,4,3,2,5,3,2,2,3,5,5,5,3,2,3,2,2,3,4,5,5,5,4,4,3,3,4,1,4,5,4,4,2,4,3,3,3,2,4,3,3,2,4,2,1,4,2,2,2,3,4,3,4,2,3,4,5,5,5,5,5,2,4,1,1,3,5,1,3,5,4,3,2,3,1,1,4,3,1,4,1,3,4.5,3,1.3333333333,3,3,4,1.3333333333,1,4.6666666667,6.6666666667,3.2,3.6,5,4.5,4.75,3,4.875,3.75,3.3636363636,2.2727272727,4.375,3.125,4.2045454545,3.0492424242,-2,1.0909090909,1.25,1.75,0.5
